Name,Amount,Category,Date,Notes,Payment Method,Tags
Sample Expense 36,88.70,Transport,2018-02-06,generated,cash,
Sample Expense 37,269.83,Groceries,2018-02-07,generated,card,
Sample Expense 38,29.69,Misc,2018-02-08,generated,bank,
Sample Expense 39,87.18,Utilities,2018-02-09,generated,card,
Sample Expense 40,58.23,Transport,2018-02-10,generated,card,
Sample Expense 41,266.15,Rent,2018-02-11,generated,card,
Sample Expense 42,233.93,Rent,2018-02-12,generated,bank,
Sample Expense 43,174.72,Dining,2018-02-13,generated,cash,
Sample Expense 44,438.49,Utilities,2018-02-14,generated,cash,
Sample Expense 45,417.18,Utilities,2018-02-15,generated,bank,
Sample Expense 46,368.85,Rent,2018-02-16,generated,cash,
Sample Expense 47,476.01,Dining,2018-02-17,generated,cash,
Sample Expense 48,472.64,Misc,2018-02-18,generated,cash,
Sample Expense 49,260.99,Dining,2018-02-19,generated,card,
Sample Expense 0,256.90,Misc,2018-02-20,generated,bank,
Sample Expense 1,244.50,Transport,2018-02-21,generated,cash,
Sample Expense 2,95.19,Transport,2018-02-22,generated,bank,
Sample Expense 3,263.60,Misc,2018-02-23,generated,bank,
Sample Expense 4,252.11,Misc,2018-02-24,generated,bank,
Sample Expense 5,20.37,Misc,2018-02-25,generated,card,
Sample Expense 6,242.93,Transport,2018-02-26,generated,bank,
Sample Expense 7,341.78,Utilities,2018-02-27,generated,bank,
Sample Expense 8,396.41,Utilities,2018-02-28,generated,cash,
Sample Expense 9,156.44,Groceries,2018-03-01,generated,card,
Sample Expense 10,54.86,Dining,2018-03-02,generated,bank,
Sample Expense 11,250.88,Transport,2018-03-03,generated,bank,
Sample Expense 12,202.47,Misc,2018-03-04,generated,bank,
Sample Expense 13,324.75,Dining,2018-03-05,generated,card,
Sample Expense 14,5.59,Misc,2018-03-06,generated,bank,
Sample Expense 15,139.79,Groceries,2018-03-07,generated,bank,
Sample Expense 16,270.35,Dining,2018-03-08,generated,bank,
Sample Expense 17,58.08,Dining,2018-03-09,generated,cash,
Sample Expense 18,388.92,Rent,2018-03-10,generated,cash,
Sample Expense 19,196.71,Transport,2018-03-11,generated,bank,
Sample Expense 20,6.90,Rent,2018-03-12,generated,bank,
Sample Expense 21,112.66,Dining,2018-03-13,generated,card,
Sample Expense 22,34.47,Rent,2018-03-14,generated,card,
Sample Expense 23,85.66,Misc,2018-03-15,generated,cash,
Sample Expense 24,432.42,Groceries,2018-03-16,generated,cash,
Sample Expense 25,344.69,Utilities,2018-03-17,generated,bank,
Sample Expense 26,255.24,Dining,2018-03-18,generated,bank,
Sample Expense 27,308.58,Dining,2018-03-19,generated,card,
Sample Expense 28,174.55,Dining,2018-03-20,generated,bank,
Sample Expense 29,96.18,Groceries,2018-03-21,generated,card,
Sample Expense 30,215.01,Utilities,2018-03-22,generated,cash,
Sample Expense 31,317.89,Transport,2018-03-23,generated,bank,
Sample Expense 32,210.07,Misc,2018-03-24,generated,card,
Sample Expense 33,455.75,Transport,2018-03-25,generated,cash,
Sample Expense 34,129.45,Groceries,2018-03-26,generated,card,
Sample Expense 35,239.44,Groceries,2018-03-27,generated,card,
Sample Expense 36,400.70,Transport,2018-03-28,generated,card,
Sample Expense 37,285.45,Groceries,2018-03-29,generated,card,
Sample Expense 38,123.52,Transport,2018-03-30,generated,card,
Sample Expense 39,212.00,Transport,2018-03-31,generated,bank,
Sample Expense 40,280.85,Groceries,2018-04-01,generated,bank,
Sample Expense 41,406.77,Groceries,2018-04-02,generated,cash,
Sample Expense 42,94.05,Misc,2018-04-03,generated,bank,
Sample Expense 43,145.32,Rent,2018-04-04,generated,cash,
Sample Expense 44,279.35,Groceries,2018-04-05,generated,bank,
Sample Expense 45,138.43,Groceries,2018-04-06,generated,card,
Sample Expense 46,13.39,Rent,2018-04-07,generated,cash,
Sample Expense 47,462.13,Rent,2018-04-08,generated,cash,
Sample Expense 48,335.68,Transport,2018-04-09,generated,cash,
Sample Expense 49,433.29,Misc,2018-04-10,generated,bank,
